id,funding_round_id,object_id,funded_at,funding_round_type,funding_round_code,raised_amount_usd,raised_amount,raised_currency_code,pre_money_valuation_usd,pre_money_valuation,pre_money_currency_code,post_money_valuation_usd,post_money_valuation,post_money_currency_code,participants,is_first_round,is_last_round,source_url,source_description,created_by,created_at,updated_at
102,102,c:123,3/1/2006,series-a,a,3200000,3200000,USD,0,0,,0,0,,0,0,1,http://www.coghead.com/about/pr1,,initial-importer,7/10/2007 20:25,5/20/2008 20:08
103,103,c:123,3/1/2007,series-b,b,8000000,8000000,USD,0,0,,0,0,,0,1,0,http://venturebeat.com/2007/03/28/coghead-a-web-based-application-builder-for-tech-savvy-raises-8m-more/,VentureBeat,initial-importer,7/10/2007 20:27,5/20/2008 20:08
104,104,c:127,5/1/2007,angel,seed,0,0,,0,0,,0,0,,0,1,1,,,initial-importer,2/5/2008 22:44,5/20/2008 1:50
105,105,c:126,2/1/2007,series-c+,c,15000000,15000000,USD,0,0,,0,0,,4,1,0,http://news.com.com/2110-1038_3-6156937.html?part=rss,,initial-importer,7/11/2007 3:27,2/25/2008 0:24
106,106,c:125,2/1/2006,angel,angel,50000,50000,USD,0,0,,0,0,,1,1,1,http://venturebeat.com/2006/09/20/stunning-photo-site-zooomr-releases-zmail-much-more/,,initial-importer,7/11/2007 2:44,2/25/2008 0:24
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
